Name,Age,2024 Net Worth,Industry,Source of Wealth,Self-Made,Residence,Citizenship,Gender,Marital Status,Children
Zhong Shanshan,69,$62.3B,Food & Beverage,"Beverages, pharmaceuticals",TRUE,"Hangzhou, China",China,M,N/A,1
Charles Koch & family,88,$58.5B,Diversified,Koch Industries,FALSE,"Wichita, Kansas",United States,M,Married,2
Giovanni Ferrero,59,$43.8B,Food & Beverage,"Nutella, chocolates",FALSE,"Brussels, Belgium",Italy,M,Married,2
Prajogo Pangestu,79,$43.4B,Diversified,"Petrochemicals, energy",FALSE,"Jakarta, Indonesia",Indonesia,M,Married,3
Zhang Yiming,40,$43.4B,Technology,TikTok,TRUE,"Beijing, China",China,M,N/A,N/A
Tadashi Yanai & family,75,$42.8B,Fashion & Retail,Fashion retail,TRUE,"Tokyo, Japan",Japan,M,Married,2
Phil Knight & family,86,$40.9B,Fashion & Retail,Nike,TRUE,"Hillsboro, Oregon",United States,M,Married,3
Mark Mateschitz,31,$39.6B,Food & Beverage,Red Bull,FALSE,"Salzburg, Austria",Austria,M,Single,N/A
Klaus-Michael Kuehne,86,$39.2B,Logistics,Shipping,FALSE,"Schindellegi, Switzerland",Germany,M,Married,N/A
Colin Huang,44,$38.9B,Technology,E-commerce,TRUE,"Shanghai, China",China,M,N/A,N/A
Stephen Schwarzman,77,$38.8B,Finance & Investments,Investments,TRUE,"New York, New York",United States,M,Married,3
Jacqueline Mars,84,$38.5B,Food & Beverage,"Candy, pet food",FALSE,"The Plains, Virginia",United States,F,Divorced,3
John Mars,88,$38.5B,Food & Beverage,"Candy, pet food",FALSE,"Jackson, Wyoming",United States,M,Married,3
Dieter Schwarz,84,$38B,Fashion & Retail,Retail,FALSE,"Neckarsulm, Germany",Germany,M,Married,2
Li Ka-shing,95,$37.3B,Diversified,Diversified,TRUE,"Hong Kong, Hong Kong",Hong Kong,M,Widowed,2
Shiv Nadar,78,$36.9B,Technology,Software services,TRUE,"Delhi, India",India,M,Married,1
Alain Wertheimer,75,$36.8B,Fashion & Retail,Chanel,FALSE,"New York, New York",France,M,Married,3
Gerard Wertheimer,73,$36.8B,Fashion & Retail,Chanel,FALSE,"New York, New York",France,M,Married,2
Ken Griffin,55,$36.4B,Finance & Investments,Hedge funds,TRUE,"Miami, Florida",United States,M,Divorced,3
MacKenzie Scott,53,$35.6B,Technology,Amazon,FALSE,"Seattle, Washington",United States,F,Divorced,4
Thomas Peterffy,79,$34B,Finance & Investments,Discount brokerage,TRUE,"Palm Beach, Florida",United States,M,Divorced,3
Reinhold Wuerth & family,88,$33.6B,Manufacturing,Fasteners,TRUE,"Kuenzelsau, Germany",Germany,M,Married,3
William Ding,52,$33.5B,Technology,Online games,TRUE,"Hangzhou, China",China,M,N/A,N/A
Savitri Jindal & family,74,$33.5B,Metals & Mining,Steel,FALSE,"Hisar, India",India,F,Widowed,9
Gianluigi Aponte,83,$33.1B,Logistics,Shipping,TRUE,"Geneva, Switzerland",Switzerland,M,Married,2
Rafaela Aponte-Diamant,79,$33.1B,Logistics,Shipping,TRUE,"Geneva, Switzerland",Switzerland,F,Married,2
Changpeng Zhao,47,$33B,Finance & Investments,Cryptocurrency exchange,TRUE,"Dubai, United Arab Emirates",Canada,M,N/A,N/A
Masayoshi Son,66,$32.7B,Finance & Investments,"Telecom, investments",TRUE,"Tokyo, Japan",Japan,M,Married,2
Len Blavatnik,66,$32.1B,Diversified,"Music, chemicals",TRUE,"London, United Kingdom",United States,M,Married,N/A
Miriam Adelson & family,78,$32B,Gambling & Casinos,Casinos,FALSE,"Las Vegas, Nevada",United States,F,Widowed,5
François Pinault & family,87,$31.6B,Fashion & Retail,Luxury goods,TRUE,"Paris, France",France,M,Married,3
Jim Simons,85,$31.4B,Finance & Investments,Hedge funds,TRUE,"East Setauket, New York",United States,M,Married,3
Gina Rinehart,70,$30.8B,Metals & Mining,Mining,FALSE,"Perth, Australia",Australia,F,Widowed,4
Ma Huateng,52,$30.2B,Technology,Online games,TRUE,"Shenzhen, China",China,M,Married,N/A
Abigail Johnson,62,$29B,Finance & Investments,Fidelity,FALSE,"Milton, Massachusetts",United States,F,Married,2
Vagit Alekperov,73,$28.6B,Energy,Oil,TRUE,"Moscow, Russia",Russia,M,Married,1
Eduardo Saverin,42,$28B,Technology,Facebook,TRUE,"Singapore, Singapore",Brazil,M,Married,1
Lukas Walton,37,$28B,Fashion & Retail,Walmart,FALSE,"Chicago, Illinois",United States,M,Married,N/A
Germán Larrea Mota Velasco & family,70,$27.9B,Metals & Mining,Mining,FALSE,"Mexico City, Mexico",Mexico,M,Married,N/A
Lee Shau Kee,96,$27.7B,Real Estate,Real estate,TRUE,"Hong Kong, Hong Kong",Hong Kong,M,Divorced,5
Jeff Yass,65,$27.6B,Finance & Investments,"Trading, investments",TRUE,"Haverford, Pennsylvania",United States,M,Married,4
Andrea Pignataro,53,$27.5B,Finance & Investments,Financial software,TRUE,"St. Moritz, Switzerland",Italy,M,Married,N/A
Low Tuck Kwong,75,$27.4B,Energy,Coal,TRUE,"Jakarta, Indonesia",Indonesia,M,Married,2
Leonid Mikhelson & family,68,$27.4B,Energy,"Gas, chemicals",TRUE,"Moscow, Russia",Russia,M,Married,2
Stefan Quandt,57,$27.3B,Automotive,BMW,FALSE,"Frankfurt, Germany",Germany,M,Married,1
Dilip Shanghvi,68,$26.7B,Healthcare,Pharmaceuticals,TRUE,"Mumbai, India",India,M,Married,2
Vladimir Lisin,67,$26.6B,Metals & Mining,"Steel, transport",TRUE,"Moscow, Russia",Russia,M,Married,3
R. Budi Hartono,83,$26.5B,Finance & Investments,"Banking, tobacco",FALSE,"Kudus, Indonesia",Indonesia,M,Married,3
Susanne Klatten,61,$26.5B,Automotive,"BMW, pharmaceuticals",FALSE,"Bad Homburg, Germany",Germany,F,Married,3
"Thomas Frist, Jr. & family",85,$26.2B,Healthcare,Hospitals,TRUE,"Nashville, Tennessee",United States,M,Married,3
Daniel Gilbert,62,$26.2B,Finance & Investments,Quicken Loans,TRUE,"Franklin, Michigan",United States,M,Married,5
Iris Fontbona & family,81,$25.7B,Metals & Mining,Mining,FALSE,"Santiago, Chile",Chile,F,Widowed,3
Emmanuel Besnier,53,$25.5B,Food & Beverage,Cheese,FALSE,"Laval, France",France,M,N/A,N/A
Michael Hartono,84,$25.5B,Manufacturing,"Banking, tobacco",FALSE,"Kudus, Indonesia",Indonesia,M,Married,4
Alexey Mordashov & family,58,$25.5B,Metals & Mining,"Steel, investments",TRUE,"Moscow, Russia",Russia,M,Married,7
"John Menard, Jr.",84,$25.2B,Fashion & Retail,Home improvement stores,TRUE,"Eau Claire, Wisconsin",United States,M,Married,6
He Xiangjian & family,81,$25.1B,Manufacturing,Home appliances,TRUE,"Foshan, China",China,M,Married,3
Jack Ma,59,$24.5B,Technology,E-commerce,TRUE,"Hangzhou, China",China,M,Married,N/A
Elaine Marshall & family,81,$24.5B,Diversified,Koch Industries,FALSE,"Dallas, Texas",United States,F,N/A,2
Autry Stephens,86,$24.3B,Energy,Oil,TRUE,"Midland, Texas",United States,M,Married,2
Eyal Ofer,73,$24B,Diversified,"Real estate, shipping",FALSE,"Monte Carlo, Monaco",Israel,M,Married,4
Vladimir Potanin,63,$23.7B,Metals & Mining,Metals,TRUE,"Moscow, Russia",Russia,M,Married,7
Gennady Timchenko,71,$23.4B,Energy,"Oil, gas",TRUE,"Moscow, Russia",Russia,M,Married,3
Takemitsu Takizaki,78,$23.1B,Manufacturing,Sensors,TRUE,"Osaka, Japan",Japan,M,Married,N/A
Vinod Adani,75,$23B,Diversified,"Infrastructure, commodities",TRUE,"Dubai, United Arab Emirates",Cyprus,M,Married,N/A
Robin Zeng,55,$22.9B,Automotive,Batteries,TRUE,"Ningde, China",Hong Kong,M,N/A,N/A
Cyrus Poonawalla,82,$21.3B,Healthcare,Vaccines,FALSE,"Pune, India",India,M,Widowed,1
Andrey Melnichenko & family,52,$21.1B,Metals & Mining,"Fertilizers, coal",TRUE,"Ras Al Khaimah, United Arab Emirates",Russia,M,Married,2
Diane Hendricks,77,$20.9B,Construction & Engineering,Building supplies,TRUE,"Afton, Wisconsin",United States,F,Widowed,7
Kushal Pal Singh,92,$20.9B,Real Estate,Real estate,FALSE,"London, United Kingdom",India,M,Widowed,3
Vicky Safra & family,71,$20.6B,Finance & Investments,Banking,FALSE,"Crans-Montana, Switzerland",Brazil,F,Widowed,4
Eric Schmidt,68,$20.6B,Technology,Google,TRUE,"Atherton, California",United States,M,Married,2
David Tepper,66,$20.6B,Finance & Investments,Hedge funds,TRUE,"Palm Beach, Florida",United States,M,Married,3
Steve Cohen,67,$19.8B,Finance & Investments,Hedge funds,TRUE,"Greenwich, Connecticut",United States,M,Married,7
Kumar Birla,56,$19.7B,Diversified,Commodities,FALSE,"Mumbai, India",India,M,Married,3
Rick Cohen & family,71,$19.6B,Technology,Warehouse automation,FALSE,"Keene, New Hampshire",United States,M,Married,3
Rupert Murdoch & family,93,$19.5B,Media & Entertainment,"Newspapers, TV network",FALSE,"New York, New York",United States,M,Married,6
Andrew Forrest & family,62,$19B,Metals & Mining,Mining,TRUE,"Perth, Australia",Australia,M,Separated,3
Harold Hamm & family,78,$18.5B,Energy,Oil & gas,TRUE,"Oklahoma City, Oklahoma",United States,M,Divorced,5
Dustin Moskovitz,39,$18.3B,Technology,Facebook,TRUE,"San Francisco, California",United States,M,Married,N/A
Donald Bren,91,$18B,Real Estate,Real estate,TRUE,"Newport Beach, California",United States,M,Married,7
Renata Kellnerova & family,56,$18B,Finance & Investments,"Finance, telecommunications",FALSE,"Prague, Czech Republic",Czech Republic,F,Widowed,4
Michael Platt,56,$18B,Finance & Investments,Hedge funds,TRUE,"Geneva, Switzerland",United Kingdom,M,N/A,N/A
Radhakishan Damani,69,$17.6B,Fashion & Retail,"Retail, investments",TRUE,"Mumbai, India",India,M,Married,3
John Fredriksen,79,$16.9B,Logistics,Shipping,TRUE,"London, United Kingdom",Cyprus,M,Widowed,2
Eric Li,60,$16.8B,Automotive,Automobiles,TRUE,"Hangzhou, China",China,M,Married,2
Stefan Persson,76,$16.6B,Fashion & Retail,H&M,FALSE,"Stockholm, Sweden",Sweden,M,Married,3
James Ratcliffe,71,$16.5B,Manufacturing,Chemicals,TRUE,"London, United Kingdom",United Kingdom,M,Married,N/A
Harry Triguboff,91,$16.5B,Real Estate,Real estate,TRUE,"Sydney, Australia",Australia,M,Married,2
Jorge Paulo Lemann & family,84,$16.4B,Food & Beverage,Beer,TRUE,"Zurich, Switzerland",Brazil,M,Married,5
Lakshmi Mittal,73,$16.4B,Metals & Mining,Steel,FALSE,"London, United Kingdom",India,M,Married,2
Ravi Jaipuria,69,$16.2B,Food & Beverage,"Soft drinks, fast food",FALSE,"Delhi, India",India,M,Married,2
Stanley Kroenke,76,$16.2B,Sports,"Sports, real estate",TRUE,"Electra, Texas",United States,M,Married,2
Jan Koum,48,$16.1B,Technology,WhatsApp,TRUE,"Atherton, California",United States,M,Single,N/A
Karl Albrecht Jr. & family,76,$15.9B,Fashion & Retail,Supermarkets,FALSE,Germany,Germany,M,N/A,N/A
Beate Heister,73,$15.9B,Fashion & Retail,Supermarkets,FALSE,N/A,Germany,F,N/A,N/A
Idan Ofer,68,$15.8B,Diversified,Shipping,FALSE,"London, United Kingdom",Israel,M,Married,5
Nicolas Puech,81,$15.6B,Fashion & Retail,Hermès,FALSE,"Martigny, Switzerland",France,M,N/A,N/A
Pavel Durov,39,$15.5B,Technology,Telegram,TRUE,"Dubai, United Arab Emirates",United Arab Emirates,M,Single,2
Qin Yinglin,58,$15.5B,Food & Beverage,Pig breeding,TRUE,"Nanyang, China",China,M,Married,1
Ray Dalio,74,$15.4B,Finance & Investments,Hedge funds,TRUE,"Greenwich, Connecticut",United States,M,Married,4
Philip Anschutz,84,$15.3B,Finance & Investments,"Energy, sports, entertainment",FALSE,"Denver, Colorado",United States,M,Married,3
Leonard Lauder,91,$15.1B,Fashion & Retail,Estee Lauder,FALSE,"New York, New York",United States,M,"Widowed, Remarried",2
Li Xiting,73,$15.1B,Healthcare,medical devices,TRUE,"Shenzhen, China",Singapore,M,N/A,N/A
Peter Woo,77,$15.1B,Real Estate,Real estate,FALSE,"Hong Kong, Hong Kong",Hong Kong,M,Married,3
Andreas von Bechtolsheim & family,68,$14.8B,Technology,Google,TRUE,"Palo Alto, California",Germany,M,Single,N/A
George Kaiser,81,$14.6B,Energy,"Oil & gas, banking",FALSE,"Tulsa, Oklahoma",United States,M,Married,3
Wang Chuanfu,58,$14.2B,Automotive,"Batteries, automobiles",TRUE,"Shenzhen, China",China,M,Married,N/A
Charlene de Carvalho-Heineken & family,69,$14.1B,Food & Beverage,Heineken,FALSE,"London, United Kingdom",Netherlands,F,Married,5
David Duffield,83,$14.1B,Technology,Business software,TRUE,"Incline Village, Nevada",United States,M,Married,10
Henry Samueli,69,$14.1B,Technology,Semiconductors,TRUE,"Newport Beach, California",United States,M,Married,3
"Theo Albrecht, Jr. & family",73,$14B,Fashion & Retail,"Aldi, Trader Joe's",FALSE,"Mulheim an der Ruhr, Germany",Germany,M,N/A,1
Leon Black,72,$14B,Finance & Investments,Private equity,TRUE,"New York, New York",United States,M,Married,4
Jerry Jones,81,$13.8B,Sports,Dallas Cowboys,TRUE,"Dallas, Texas",United States,M,Married,3
Wang Wei,53,$13.8B,Service,Package delivery,TRUE,"Shenzhen, China",China,M,N/A,N/A
David Green & family,82,$13.7B,Fashion & Retail,Retail,TRUE,"Oklahoma City, Oklahoma",United States,M,Married,3
James Dyson,76,$13.6B,Manufacturing,Vacuums,TRUE,"Gloucestershire, United Kingdom",United Kingdom,M,Married,3
David Sun,72,$13.6B,Technology,Computer hardware,TRUE,"Irvine, California",United States,M,Married,2
John Tu,82,$13.6B,Technology,Computer hardware,TRUE,"Rolling Hills, California",United States,M,Married,2
Christy Walton,75,$13.6B,Fashion & Retail,Walmart,FALSE,"Jackson, Wyoming",United States,F,Widowed,1
Dang Yanbao,51,$13.4B,Metals & Mining,Coal,TRUE,"Yinchuan, China",China,M,N/A,N/A
Aliko Dangote,66,$13.4B,Manufacturing,"Cement, sugar",TRUE,"Lagos, Nigeria",Nigeria,M,Divorced,3
Ricardo Salinas Pliego & family,68,$13.4B,Fashion & Retail,"Retail, media",FALSE,"Mexico City, Mexico",Mexico,M,Married,6
Alisher Usmanov,70,$13.4B,Metals & Mining,"Steel, telecom, investments",TRUE,"Tashkent, Uzbekistan",Russia,M,Divorced,N/A
Mike Cannon-Brookes,44,$13.3B,Technology,Software,TRUE,"Sydney, Australia",Australia,M,Separated,4
Uday Kotak,65,$13.3B,Finance & Investments,Banking,TRUE,"Mumbai, India",India,M,Married,2
Mikhail Fridman,59,$13.1B,Energy,"Oil, banking, telecom",TRUE,"Moscow, Russia",Russia,M,Divorced,5
Joseph Lau,72,$13.1B,Real Estate,Real estate,TRUE,"Hong Kong, Hong Kong",Hong Kong,M,Divorced,6
Scott Farquhar,44,$13B,Technology,Software,TRUE,"Sydney, Australia",Australia,M,Married,2
Laurene Powell Jobs & family,60,$12.8B,Technology,"Apple, Disney",FALSE,"Palo Alto, California",United States,F,Widowed,3
Goh Cheng Liang,96,$12.7B,Manufacturing,Paints,TRUE,"Singapore, Singapore",Singapore,M,Widowed,3
George Roberts,80,$12.7B,Finance & Investments,Private equity,TRUE,"Atherton, California",United States,M,"Widowed, Remarried",3
David Cheriton,73,$12.6B,Technology,Google,TRUE,"Palo Alto, California",Canada,M,Divorced,4
Jeffery Hildebrand,65,$12.6B,Energy,Oil,TRUE,"Houston, Texas",United States,M,Married,3
Georg Stumpf,51,$12.6B,Diversified,"Real estate, construction",TRUE,"Vienna, Austria",Austria,M,In Relationship,N/A
Dhanin Chearavanont,84,$12.5B,Diversified,Diversified,FALSE,"Bangkok, Thailand",Thailand,M,Widowed,5
Anders Holch Povlsen,51,$12.5B,Fashion & Retail,Fashion retail,FALSE,"Aarhus, Denmark",Denmark,M,Married,4
Israel Englander,75,$12.4B,Finance & Investments,Hedge funds,TRUE,"New York, New York",United States,M,Married,3
Shahid Khan,73,$12.2B,Automotive,Auto parts,TRUE,"Naples, Florida",United States,M,Married,2
Johann Rupert & family,73,$12.2B,Fashion & Retail,Luxury goods,FALSE,"Cape Town, South Africa",South Africa,M,Married,3
Hasso Plattner & family,80,$12.1B,Technology,Software,TRUE,"Heidelberg, Germany",Germany,M,Married,2
Kwong Siu-hing,94,$12B,Real Estate,Real estate,FALSE,"Hong Kong, Hong Kong",Hong Kong,F,Widowed,3
Azim Premji,78,$12B,Technology,Software services,FALSE,"Bangalore, India",India,M,Married,2
"Henry Nicholas, III.",64,$11.9B,Technology,Semiconductors,TRUE,"Newport Coast, California",United States,M,Divorced,3
"Edward Johnson, IV.",59,$11.8B,Finance & Investments,Fidelity,FALSE,"Boston, Massachusetts",United States,M,N/A,N/A
John Doerr,72,$11.7B,Finance & Investments,Venture capital,TRUE,"Woodside, California",United States,M,Married,2
Henry Kravis,80,$11.7B,Finance & Investments,Private equity,TRUE,"New York, New York",United States,M,Married,2
Eric Smidt,64,$11.7B,Fashion & Retail,Hardware stores,TRUE,"Beverly Hills, California",United States,M,Married,N/A
Lu Xiangyang,61,$11.6B,Automotive,"Automobiles, batteries",TRUE,"Guangzhou, China",China,M,Married,N/A
Andrew Beal,71,$11.5B,Finance & Investments,"Banks, real estate",TRUE,"Dallas, Texas",United States,M,Divorced,6
Jay Y. Lee,55,$11.5B,Technology,Samsung,FALSE,"Seoul, South Korea",South Korea,M,Divorced,2
Michael Rubin,51,$11.5B,Fashion & Retail,Online retail,TRUE,"Bryn Mawr, Pennsylvania",United States,M,Divorced,1
Robert Kuok,100,$11.4B,Diversified,"Palm oil, shipping, property",TRUE,"Hong Kong, Hong Kong",Malaysia,M,Married,8
Giorgio Armani,89,$11.3B,Fashion & Retail,Luxury goods,TRUE,"Milan, Italy",Italy,M,Single,N/A
Jay Chaudhry,64,$11.3B,Technology,Security software,TRUE,"Reno, Nevada",United States,M,Married,3
Charoen Sirivadhanabhakdi,79,$11.3B,Food & Beverage,"Alcohol, real estate",TRUE,"Bangkok, Thailand",Thailand,M,Widowed,5
Brian Armstrong,41,$11.2B,Finance & Investments,Cryptocurrency,TRUE,"San Francisco, California",United States,M,N/A,N/A
Ernesto Bertarelli,58,$11.2B,Healthcare,"Biotech, investments",FALSE,"Gstaad, Switzerland",Switzerland,M,Divorced,3
Bubba Cathy,69,$11.2B,Food & Beverage,Chick-fil-A,FALSE,"Atlanta, Georgia",United States,M,Married,6
Dan Cathy,71,$11.2B,Food & Beverage,Chick-fil-A,FALSE,"Atlanta, Georgia",United States,M,Married,2
Trudy Cathy White,68,$11.2B,Food & Beverage,Chick-fil-A,FALSE,"Hampton, Georgia",United States,F,Married,4
Lui Che-woo,95,$11.2B,Gambling & Casinos,Casinos/hotels,TRUE,"Hong Kong, Hong Kong",Hong Kong,M,Married,5
Wei Jianjun & family,60,$11.2B,Automotive,Automobiles,TRUE,"Baoding, China",China,M,Married,N/A
Sky Xu,40,$11.2B,Fashion & Retail,E-commerce,TRUE,"Guangzhou, China",China,M,N/A,N/A
Melinda French Gates,59,$11.1B,Technology,Microsoft,FALSE,"Medina, Washington",United States,F,Divorced,3
Robert Kraft,82,$11.1B,Sports,"Manufacturing, New England Patriots",TRUE,"Brookline, Massachusetts",United States,M,"Widowed, Remarried",4
Brian Chesky,42,$11B,Technology,Airbnb,TRUE,"San Francisco, California",United States,M,Single,N/A
Barry Lam,74,$11B,Technology,Electronics,TRUE,"Taipei, Taiwan",Taiwan,M,Married,2
Donald Newhouse,94,$11B,Media & Entertainment,Media,FALSE,"New York, New York",United States,M,Widowed,3
Mikhail Prokhorov,58,$11B,Finance & Investments,Investments,TRUE,"Frauenfeld, Switzerland",Russia,M,Single,N/A
Manuel Villar,74,$11B,Real Estate,Real estate,TRUE,"Manila, Philippines",Philippines,M,Married,3
Jiang Rensheng & family,70,$10.9B,Healthcare,Vaccines,TRUE,"Chongqing, China",China,M,Married,1
Lei Jun,54,$10.9B,Technology,Smartphones,TRUE,"Beijing, China",China,M,Married,2
Georg Schaeffler,59,$10.9B,Automotive,Auto parts,FALSE,"Herzogenaurach, Germany",Germany,M,Divorced,4
Marcel Herrmann Telles & family,74,$10.9B,Food & Beverage,Beer,TRUE,"Sao Paulo, Brazil",Brazil,M,Married,2
David Velez & family,42,$10.8B,Finance & Investments,Fintech,TRUE,"Sao Paulo, Brazil",Colombia,M,Married,N/A
Suleiman Kerimov & family,58,$10.7B,Finance & Investments,Gold,TRUE,"Moscow, Russia",Russia,M,Married,3
Sarath Ratanavadi,58,$10.7B,Energy,Energy,TRUE,"Bangkok, Thailand",Thailand,M,Married,N/A
Patrick Ryan,86,$10.7B,Finance & Investments,Insurance,TRUE,"Winnetka, Illinois",United States,M,Married,3
Marc Benioff,59,$10.6B,Technology,Business software,TRUE,"San Francisco, California",United States,M,Married,2
Nathan Blecharczyk,40,$10.6B,Technology,Airbnb,TRUE,"San Francisco, California",United States,M,Married,2
Carl Cook,61,$10.6B,Healthcare,Medical devices,FALSE,"Bloomington, Indiana",United States,M,Married,N/A
Huang Shilin,57,$10.6B,Automotive,Batteries,TRUE,"Ningde, China",China,M,N/A,N/A
Friedhelm Loh,77,$10.6B,Manufacturing,Manufacturing,FALSE,"Haiger, Germany",Germany,M,Married,3
Anthony Pratt,63,$10.6B,Manufacturing,Manufacturing,FALSE,"Melbourne, Australia",Australia,M,N/A,2
Viktor Rashnikov,75,$10.6B,Manufacturing,Steel,TRUE,"Magnitogorsk, Russia",Russia,M,Married,2
Leonid Fedun,68,$10.5B,Energy,Oil,TRUE,"Moscow, Russia",Russia,M,Married,2
Li Shuirong & family,67,$10.5B,Manufacturing,Petrochemicals,TRUE,"Hangzhou, China",China,M,Married,1
Antony Ressler,63,$10.5B,Finance & Investments,Finance,TRUE,"Los Angeles, California",United States,M,Married,3
Alexander Gerko,44,$10.4B,Finance & Investments,Trading,TRUE,"London, United Kingdom",United Kingdom,M,Married,N/A
Graeme Hart,68,$10.4B,Finance & Investments,Packaging,TRUE,"Auckland, New Zealand",New Zealand,M,Married,2
Mangal Prabhat Lodha,68,$10.4B,Real Estate,Real estate,TRUE,"Mumbai, India",India,M,Married,2
Bernard Marcus,94,$10.3B,Fashion & Retail,Home Depot,TRUE,"Atlanta, Georgia",United States,M,Married,3
Yu Yong,63,$10.3B,Finance & Investments,Mining,TRUE,"Shanghai, China",China,M,Married,N/A
Antonia Ax:son Johnson & family,80,$10.2B,Diversified,Diversified,FALSE,"Stockholm, Sweden",Sweden,F,Married,4
Gong Hongjia & family,59,$10.2B,Finance & Investments,Video surveillance,TRUE,"Hong Kong, Hong Kong",Hong Kong,M,Married,2
Judy Love & family,86,$10.2B,Fashion & Retail,Gas stations,TRUE,"Oklahoma City, Oklahoma",United States,F,Widowed,4
James Goodnight,81,$10.1B,Technology,Software,TRUE,"Cary, North Carolina",United States,M,Married,3
Nancy Walton Laurie,72,$10.1B,Fashion & Retail,Walmart,FALSE,"Henderson, Nevada",United States,F,Married,1
Stephen Ross,83,$10.1B,Real Estate,Real estate,TRUE,"New York, New York",United States,M,Married,4
Vincent Bolloré & family,72,$10B,Finance & Investments,Investments,FALSE,"Paris, France",France,M,Married,4
Ann Walton Kroenke,75,$10B,Fashion & Retail,Walmart,FALSE,"Electra, Texas",United States,F,Married,2
Liu Yongxing,75,$10B,Service,Diversified,TRUE,"Shanghai, China",China,M,Married,1
Enrique Razon Jr.,64,$10B,Logistics,Ports,FALSE,"Manila, Philippines",Philippines,M,Married,2
Mat Ishbia,44,$9.9B,Finance & Investments,Mortgage lender,FALSE,"Bloomfield Hills, Michigan",United States,M,Divorced,3
Elizabeth Johnson,60,$9.9B,Finance & Investments,Fidelity,FALSE,"Boston, Massachusetts",United States,F,N/A,N/A
Shapoor Mistry,59,$9.9B,Diversified,Diversified,FALSE,"Mumbai, India",Ireland,M,Married,2
Xavier Niel,56,$9.9B,Telecom,"Internet, telecom",TRUE,"Paris, France",France,M,Single,3
Viatcheslav Kantor,70,$9.8B,Manufacturing,"Fertilizer, real estate",TRUE,"Herzliya, Israel",Russia,M,Married,5
John Malone,83,$9.8B,Media & Entertainment,Cable television,TRUE,"Elizabeth, Colorado",United States,M,Married,2
Charles Schwab,86,$9.8B,Finance & Investments,Discount brokerage,TRUE,"Woodside, California",United States,M,Married,5
Andreas Struengmann & family,74,$9.8B,Healthcare,Pharmaceuticals,TRUE,"Tegernsee, Germany",Germany,M,Married,2
Thomas Struengmann & family,74,$9.8B,Healthcare,Pharmaceuticals,TRUE,"Tegernsee, Germany",Germany,M,Married,4
Roman Abramovich & family,57,$9.7B,Diversified,"Steel, investments",TRUE,"Moscow, Russia",Russia,M,Married,7
Jack Dangermond,78,$9.7B,Technology,Mapping software,TRUE,"Redlands, California",United States,M,Married,N/A
Joe Gebbia,42,$9.7B,Technology,Airbnb,TRUE,"Austin, Texas",United States,M,In Relationship,N/A
Michael Kim,60,$9.7B,Finance & Investments,Private equity,TRUE,"Seoul, South Korea",United States,M,Married,2
